           0   5.0805263425157676E-005   1.0000000000000000     
           1   1.0160966645855751E-004  0.99998306490903044     
           2   1.5241320911529854E-004  0.49998729872282127     
           3   2.0321589140959162E-004  0.33332204333983634     
           4   2.5401771335564760E-004  0.24998941565875088     
           5   3.0481867496856552E-004  0.19998983906209725     
           6   3.5561877626300031E-004  0.16665678800576628     
           7   4.0641801725316284E-004  0.14284746582838923     
           8   4.5721639795370805E-004  0.12499047420159590     
           9   5.0801391837929089E-004  0.11110170294182219     
          10   5.5881057854456628E-004   9.9990685938942808E-002
          11   6.0960637846374510E-004   9.0899853849362569E-002
          12   6.6040131815148229E-004   8.3324160445539197E-002
          13   7.1119539762243278E-004   7.6913958338434743E-002
          14   7.6198861689125152E-004   7.1419499393026734E-002
          15   8.1278097597259347E-004   6.6657634976968250E-002
          16   8.6357247488066946E-004   6.2491003615454524E-002
          17   9.1436311363013445E-004   5.8814564181753667E-002
          18   9.6515289223564338E-004   5.5546618021222703E-002
          19   1.0159418107118512E-003   5.2622666195987142E-002
          20   1.0667298690734128E-003   4.9991109555748481E-002
          21   1.1175170673345391E-003   4.7610177359373375E-002
          22   1.1683034055103292E-003   4.5445693547145324E-002
          23   1.2190888836149938E-003   4.3469425720351201E-002
          24   1.2698735016631879E-003   4.1657846881189876E-002
          25   1.3206572596691224E-003   3.9991194350792909E-002
          26   1.3714401576478963E-003   3.8452745863447602E-002
          27   1.4222221956137204E-003   3.7028256524818733E-002
          28   1.4730033735812498E-003   3.5705516426437246E-002
          29   1.5237836915651393E-003   3.4473999784827028E-002
          30   1.5745631495795998E-003   3.3324584254017624E-002
          31   1.6253417476397303E-003   3.2249324565793470E-002
          32   1.6761194857597417E-003   3.1241268609355066E-002
          33   1.7268963639547330E-003   3.0294306955076941E-002
          34   1.7776723822384710E-003   2.9403048928458454E-002
          35   1.8284475406256107E-003   2.8562719933356236E-002
          36   1.8792218391312510E-003   2.7769075884051711E-002
          37   1.9299952777696028E-003   2.7018331514188858E-002
          38   1.9807678565553211E-003   2.6307100007204973E-002
          39   2.0315395755026167E-003   2.5632341911884002E-002
